Food,Protein,Fat,Carb,Fiber,Calories
IV Fat emulsion 30% Intralipid - Baxter,0,30,1.7,0,276.8
Salad Dressing_ Henri's Tas-tee (regular),0,29.4,26.5,0,370.6
Gerber Org Grad Lil Crunchies Garden Tomato,0,28.5,57.14,0,485.1
Gerber Org Grad Lil Crunchies Mild Cheddar,0,28.5,57.14,0,485.1
Gerber Org Grad Lil Crunchies Ranch,0,28.5,57.14,0,485.1
Gerber Org Grad Lil Crunchies Veggie Dip,0,28.5,57.14,0,485.1
Vodka_ 80 proof (metabolized similar to fat),0,25.6,0,0,230.4
Salad Dressing_ Kraft Miracle Whip,0,23.3,13.3,0,262.9
DuoCal - Super Soluble Unflavrd Powder - Nutricia,0,22.3,72.7,0,491.5
Oil emulsion - KQuik/Betaquik (MCT) - Vitaflo (Nes,0,21,0,0,189
Oil emulsion - Carbzero (LCT) DISCONTINUED,0,20,0,0,180
IV Fat emulsion 20% Intralipid - Baxter,0,20,2.25,0,189
IV Fat emulsion 20% Liposyn III Hospira,0,20,3.5,0,194
IV Fat emulsion 20% SMOF - Fresinius Kabi,0,20,2.5,0,190
IV Fat emulsion 10% Liposyn III Hospira,0,10,2.5,0,100
Coconut Milk - cultured;Plain - So Delicious,0,3.98,7.96,0,67.7
Coconut Milk CULTURED - So Delicious,0,3.54,1.77,3.54,38.9
Almond extract - pure,0,3,1,0,31
Coconut Milk Nog - So Delicious,0,2.5,11.66,0,69.1
Coconut Milk unsweetened Vanilla - SoDelicious,0,1.88,0.85,0.42,20.3
Chocolate Dip - Walden Farms,0,1.67,1,0,19
Coconut milk UNSWEET - Silk,0,1.67,0.42,0,16.7
Coconut Milk_ unsweetened 45Cal-Silk,0,1.67,0.3,0,16.2
Flax Milk_ no sugar added - Good Karma,0,1.04,0.4,0,11
Broth_ Organic Vegetable - Imagine,0,0.2,0.83,0,5.1
Molasses,0,0.1,74.73,0,299.8
applesauce_ Motts blueberry delight no sugar added,0,0,11.7,0,46.8
Baking Powder - Calumet,0,0,27.5,0,110
Baking Powder - Featherweight GF-Hain,0,0,27,0,108
Baking Powder double acting-Clabber Girl,0,0,23.9,0,95.6
Baking Powder Magic Baking-Kraft - Canada,0,0,23.9,0,95.6
Bamboo flour,0,0,0.1,94.2,0.4
Beech-Nut Stage 1: Apple,0,0,11.5,1.77,46
Beech-Nut Stage 1: Apple Organics,0,0,10.6,2.65,42.4
Black Strap Molasses,0,0,60.787,0,243.1
Bouillion_ Herb ox Chicken Granules,0,0,28.6,0,114.4
Broth_ Vegetable_ Cert Organic - Swanson,0,0,3,0,12
Carbohydrate from medications diet adjustment,0,0,100,0,400
Carbohydrate: Sol Carb - MedicaNutr,0,0,94.5,0,378
Catsup_ Westbrae (unsweetened),0,0,6.66,0,26.6
CCMC baby applesauce,0,0,21.5,0,86
CCMC baby carrots,0,0,3.5,0,14
CCMC baby peaches,0,0,21.5,0,86
CCMC baby pears,0,0,15.8,0,63.2
CCMC baby peas,0,0,11.3,0,45.2
CCMC bananas,0,0,22.6,0,90.4
CCMC thickners,0,0,71.4,0,285.6
Coconut Aminos - Coconut Secret,0,0,20,0,80
Coconut Nectar_ organic - Big Tree Farms Inc,0,0,75,0,300
Coconut Palm Sugar - betterbody foods,0,0,100,0,400
Cranberry juice powder - Microingredients,0,0,100,0,400
Cream of Tartar,0,0,61.3,0,245.2
Dellalo Diced Pimentos,0,0,8.33,0,33.3
Earth's Best: 1st Prunes,0,0,14,0,56
Earth's Best: 2nd Apples & Blueberries,0,0,9.73,0,38.9
Erythritol (powder) - NOW Real Food,0,0,10,0,40
fantomalt,0,0,96,0,384
Fiber powder_ Organic Clear 100% Acacia - RnwLife,0,0,0.25,89.2,1
Fiber: Nutrisource (1 pkt = 4gm) Novartis,0,0,25,75,100
Fructose - 100% crystalline powder - NOW Foods,0,0,92.67,0,370.7
Fruit & Veggie Melties - Beechnut,0,0,78.57,7.14,314.3
Fruit Spread - Walden Farms Cal-free_ all flavors,0,0,2.76,0,11
Gatorade G2- All flavors ready to drink- Pepsico,0,0,6.43,0,25.7
Gelmix (powder) - ParapharmaTech,0,0,41.67,41.67,166.7
Gerber 100% Apple Juice,0,0,11.87,0,47.5
Gerber 100% Pear Juice,0,0,12.71,0,50.8
Gerber 3rd Lil'Bits_ Orchard Fruit Medley,0,0,14.79,1.41,59.2
Glucose Polymers: Carbo Gain (powder) NOWSports,0,0,94.02,0,376.1
Glucose Polymers: Moducal - OFF Market,0,0,94.6,0,378.4
Glucose Polymers: Polycose Liquid-Discontinued,0,0,50,0,200
Gourmet style Pico Del gallo,0,0,3.333,0,13.3
Grad. finger foods banana puffs,0,0,85.7,0,342.8
Grape juice Simply Balanced,0,0,16.6,0,66.4
GV wholesome Sweenter Brown sugar,0,0,94,0,376
Happy Baby Apples Pumpkin Carrots pouch,0,0,10.62,1.77,42.5
Happy Baby Organic puffs,0,0,85.5,0,342
Heinz Strained AppleRaspberry-Pom. et framboises,0,0,14.84,0,59.4
Heinz Strained Apples-Strawberries/Pom. et fraises,0,0,16.4,0,65.6
Honest kids juice pouches,0,0,5,0,20
Inulin_ certified organic - NOW,0,0,10.7,89.2,42.8
juice_ Ceres,0,0,32,0,128
Ketchup - calorie-free - Walden Farms,0,0,11.33,0,45.3
Ketchup - Simply Heinz,0,0,23.53,0,94.1
Ketchup - Tomato Ketchup - Heinz,0,0,29.4,0,117.6
Ketchup_ no added sugar-Heinz,0,0,6.25,0,25
Konjac root (powder) - Best Naturals,0,0,150,100,600
Koochikoo SF lollipop,0,0,16.6,83.3,66.4
Lizak lolipop,0,0,58.1,0,232.4
Loganberries - raw,0,0,42.5,2.5,170
Lollipop,0,0,94.9,0,379.6
Maple Syrup_ Organic - Trader Joes,0,0,88.3,0,353.2
Motts Healthy Harvest country Berry,0,0,11.7,0,46.8
Noodles_ All Natural - Whole Foods,0,0,1.1,0,4.4
Noodles_ Kelp - Sea Tangle,0,0,0.5,0,2
Oat Fiber - NuNaturals,0,0,2.65,85.26,10.6
Ocean spray cranb juice cocktail,0,0,12.5,0,50
Pedialyte,0,0,2.5,0,10
Pedialyte Oral Electr_ Sltn (flavored & unflavrd),0,0,2.5,0,10
Picante Sauce - Pace,0,0,3.15,3.1,12.6
PolyCal (maltodextrin powder) - Nutricia,0,0,96,0,384
Psyllium husks or powder,0,0,11.11,77.77,44.4
PureCarb (powder) Solace Nutrition,0,0,90,0,360
Salsa Verde - Pace,0,0,6.67,3.3,26.7
Seasoning Blend_ Mrs. Dash Orig Blend SaltFree,0,0,2,0,8
Simply Thick_ gel Honey- Discontinued 2017,0,0,3,0,12
Simply Thick_ gel Nectar - Discontinued 2017,0,0,3,0,12
SimplythickL2Nectar 2022,0,0,16.6,0,66.4
SimplyThickMix gel liquid - packets or pump,0,0,20.8,0,83.2
SmartGels_ orange- KozyShack,0,0,1.01,1.01,4
SolCarb,0,0,94,0,376
Splenda Zero Liquid Sweetener,0,0,4,0,16
Splenda_ No Calorie Sweetener_ Granular (McNeil),0,0,50,0,200
sprinkles_ rainbow by Wilton,0,0,75,0,300
Stew Leonard's rice cake,0,0,75,0,300
Strawberry Preserves_ Org. Reduced Sugar-T.Joes,0,0,38.9,0,155.6
Sugar_ white granulated,0,0,99.98,0,399.9
Sweet Corn Extract - Amoretti,0,0,90,0,360
Syrup - Pancake_ calorie-free - Walden Farms,0,0,1.83,0,7.3
Syrup - Chocolate_ calorie-free - Walden Farms,0,0,0.938,0,3.8
Syrup - Davinci G. Sugar-Free Banana,0,0,0.4,0,1.6
Syrup - Davinci G. Sugar-Free Blueberry,0,0,1,0,4
Syrup - Davinci G. Sugar-Free Caramel,0,0,1.5,0,6
Syrup - Davinci G. Sugar-Free Chocolate,0,0,1.5,0,6
Syrup - Davinci G. Sugar-Free French Vanilla,0,0,1.5,0,6
Syrup - Davinci G. Sugar-Free Pancake Syrup,0,0,1,0,4
Syrup - Davinci G. Sugar-Free Peppermint,0,0,0.5,0,2
Syrup - Davinci G. Sugar-Free Pumpkin Pie,0,0,1.4,0,5.6
Syrup - Davinci G. Sugar-Free Strawberry,0,0,0.5,0,2
Syrup - Davinci G. Sugar-Free Vanilla,0,0,0.5,0,2
Syrup - Davinci G. Sugar-Free Watermelon,0,0,1.5,0,6
Syrup - Strawberry_ calorie-free - Walden Frm,0,0,0.938,0,3.8
Tapioca flour - Bob's Red Mill,0,0,90,0,360
Thai Green Curry paste - Australia,0,0,20,20,80
Thai Green Curry Paste - Taste of Thai,0,0,16.67,0,66.7
Thick-It Regular Strength - Precision foods,0,0,87.5,0,350
Thik & Clear (powder) - Nutra/Balance,0,0,40,0,160
Tiny Fruits,0,0,63.9,0,255.6
Tomato Sauce_ Big Y,0,0,8.2,0,32.8
Torani Sugar-free Choc Chip Cookie Dough Syrup,0,0,1.84,0,7.4
Torani Sugar-free English Toffee Syrup,0,0,1.92,0,7.7
Torani Sugar-free Lemon Syrup,0,0,0.7,0,2.8
Torani Sugar-free Pumpkin Pie Syrup,0,0,1.06,0,4.2
Truvia - Brown Sugar Blend,0,0,95,0,380
Truvia Natural Sweetener - 1 packet weighs 3.5gm,0,0,4.28,0,17.1
Vanilla_ ground raw - Ojio,0,0,40,40,160
Vinegar_ apple cider,0,0,0.93,0,3.7
Vinegar_ white distilled,0,0,0.04,0,0.2
Water Chestnuts_ La Choy (sliced or whole),0,0,11,0,44
Worcestershire Sauce - Heinz,0,0,19.46,0,77.8
Wyler's Beef Cubes bouillon,0,0,21.62,0,86.5
Wyler's Chicken Cubes bouillon,0,0,24.32,0,97.3
Wyler's Chicken Powder bouillon,0,0,22.85,0,91.4
Xanthan Gum - Bob's Red Mill,0,0,1.2,74,4.8
Zolli Pops (1 pop =6.5 grams),0,0,99.7,0,398.8
Neoke betahydroxybutryate - Solace,0,0,2.1,0,8.4
B&G Sandwich topper Dill Pickel,0,0,3.6,0,14.4
Baking soda - (sodium bicarbonate),0,0,0,0,0
BIG Y SF Junior pops,0,0,8.9,0,35.6
Braden's SF popsicle( 1pop=51gms),0,0,7.8,0,31.2
Fla-Vor_Ice Lite ( 71 gms=2 pops),0,0,1.4,0,5.6
Hunts SF Gel Snacks,0,0,2,0,8
IV Dextrose 2%,0,0,0,0,6.8
IV Dextrose 2.5%,0,0,0,0,8.5
IV Dextrose 3%,0,0,0,0,10.2
IV Dextrose 3.5%,0,0,0,0,11.9
IV Dextrose 4%,0,0,0,0,13.6
IV Dextrose 4.5%,0,0,0,0,15.3
IV Dextrose 5%,0,0,0,0,17
IV Dextrose 5.5%,0,0,0,0,18.7
IV Dextrose: 10%,0,0,0,0,34
IV Dextrose: 15%,0,0,0,0,51
IV Dextrose: 20%,0,0,0,0,68
Maple Grove Farms Vermont or Howards Sugar Free Sy,0,0,3,0,12
miracle noodles,0,0,0.58,0,2.3
Morton Lite Salt (1/4 teaspoon = 1.4gm),0,0,0,0,0
Paul Newmans Salsa,0,0,6.25,0,25
Plasma-lyte A Injection pH7.4 - Baxter,0,0,0.53,0,2.1
Salt (1/4 teaspoon = 1.5gm),0,0,0,0,0
Agar Agar Flakes - Eden Food (1 T = 2.5g),0,0,2,0,8
Egg Replacer - Ener-G Foods,0,0,100,0,400
Extract_ Imitation Vanilla (no alcohol),0.003,0,14.4,0,57.6
Torani Sugar-free Chocolate Syrup,0.01,0.01,1.4,0,5.7
Torani Sugar-free Red Raspberry Syrup,0.01,0,1.55,0,6.2
Vinegar_ red or white wine,0.04,0,0.27,0,1.2
Gatorade G2 low calorie - Pepsico,0.05,0.01,1.94,0,8.1
Extract_ Imitation Vanilla (with alcohol),0.05,0,2.41,0,9.8
Mayonnaise - Hellmann's/Best Foods,0.06,77,0.7,0,696
Spread; Smart Balance Buttery w/ EVOO,0.06,63.86,0.47,0,576.9
Extract_ Pure Vanilla,0.06,0.06,12.65,0,51.4
Vanilla extract - pure,0.06,0.06,12.65,0,51.4
Spread; Smart Balance Omega-3 Buttery,0.061,63.82,0.0846,0,575
Bacon fat (from cooked bacon),0.07,99.5,0,0,895.8
Wine_ cabernet sauvignon (alcohol counted as fat),0.07,7.5,2.6,0,78.2
Wine_ carbernet franc (alcohol counted as fat),0.07,7.5,2.45,0,77.6
Wine_ chenin blanc (alcohol counted as fat),0.07,7.5,3.31,0,81
Wine_ gewurztraminer (alcohol counted as fat),0.07,7.5,2.6,0,78.2
Wine_ pinot noir (alcohol counted as fat),0.07,7.5,2.31,0,77
Wine_ red zinfandel (alcohol counted as fat),0.07,7.5,2.86,0,79.2
Wine_ syrah - red (alcohol counted as fat),0.07,7.5,2.58,0,78.1
Noodles_ AngelHairPasta_Rice_Fettucini-Miracle Ndl,0.08,0.01,0.28,2.35,1.5
Noodles_ No Calorie - NoOodle CO.,0.08,0.01,0.28,0,1.5
Rice - Miracle Rice mady by Miracle Noodle,0.08,0.01,0.28,0,1.5
Peanut Spread_ Creamy Whipped - Walden F.,0.086,0.79,1.6,0,13.9
Agave nectar,0.09,0.45,76.17,0.2,309.1
Salad Dressing_ Zesty Ranch - Tessamae's DISC,0.1,82.7,3.44,0,758.5
Spread_ Earth Balance Coconut Spread,0.1,78.57,0.1,0,707.9
Spread_ Earth Balance Original Natural Buttery,0.1,78.57,0.1,0,707.9
Salad Dressing_ Soy Ginger - Tessamae's DISC,0.1,68.96,3.44,0,634.8
Frozen Orange Cream Delights-KetoCookbook,0.1,1.07,0.61,0,12.5
Apple juice_ unsweetened,0.1,0.13,11.1,0.2,46
Beech-Nut Stage 1: Honeycrisp Apple - DISC,0.13,0.22,11.24,0,47.5
Beech-Nut Stage 2: Apple Strawb DISC,0.15,0.03,10.19,0,41.6
Beech-Nut Stage 3: Apple & Aronia B DISC,0.15,0.01,11.49,0,46.6
Applesauce_ Mott's No Sugar Added,0.16,0.08,9.376,1,38.9
Mayonnaise - Walden Farms,0.169,2.16,3.77,0,35.2
Applesauce - canned unsweetened,0.17,0,10,1.1,40.7
Tomato Basil Sauce - Walden Farms,0.195,0.06,1.96,0,9.2
Spicy Montreal Steak Grill Mts powder - McCormick,0.2,12.5,112.5,0,563.3
Gerber 2nd Apple Blueberry,0.2,0.2,12.4,0,52.2
Gerber Organic 2nd Apple Strawberry,0.2,0.2,11.6,0,49
Beech-Nut Stage 1: Pear,0.2,0.16,11.5,3.54,48.2
Gerber 2nd Applesauce,0.2,0.1,12.8,0,52.9
Beech-Nut Stage 2: Apple Kiwi - DISC,0.2,0.09,11.29,0,46.8
Communion wafer,0.2,0,100,0,400.8
Coconut Milk unsweetened - So Delicious,0.215,1.875,0.41,0,19.4
Coconut Milk Original - So Delicious,0.219,2.3,3,0,33.6
Yogurt Alternative_ Coconut Milk Unswtnd-So Delic,0.22,3.53,4.1,1.2,49.1
Beech-Nut Stage 3: Carrot Broccoli B DISC,0.22,0.14,10.22,0,43
Salad Dressing_ Ranch - Walden Farms,0.22,0.017,0.32,0,2.3
Soy Garden - Natural Buttery Spread - GFA,0.23,78.5,0.13,0,707.9
Marinara Sauce - Walden Foods,0.23,0.07,3.33,0,14.9
Spread; Smart Balance Organic Whpd Buttery,0.236,77.6,0.018,0,699.4
Spread; Smart Balance Whipped - LowSod,0.236,77.6,0.018,0,699.4
Beech-Nut Stage 2: Raspberry & Car DISC,0.25,0.18,6.15,0,27.2
Beech-Nut Stage 3: Apple Zucchini DISC,0.25,0,8.37,0,34.5
Apple_ raw with skin,0.26,0.17,11.41,2.4,48.2
Cornstarch,0.26,0.05,90.37,0,363
Granny Smith apple with skin - raw,0.27,0.14,11.6,2.5,48.7
Apple_ raw - without skin,0.27,0.13,11.46,1.3,48.1
Beech-Nut Stage 2: Pear Black Cherry DISC,0.28,0.14,12.72,0,53.3
Gerber 3rd Pears,0.29,0,12.94,2.94,52.9
Coconut Milk unsweetened 32 oz TraderJoes,0.3,2.1,0.45,0,21.9
Earth's Best: 2nd Apples,0.3,0.44,12.4,0.9,54.8
Pectin_ unsweetened powder,0.3,0.3,81.8,8.6,331.1
Arrowroot flour,0.3,0.1,84.75,3.4,341.1
Gerber 2nd Apple Strawberry Banana,0.3,0.1,13,0,54.1
Gerber 2nd Apples & Cherries,0.3,0.1,12.4,0,51.7
Gerber Organic 2nd Apple Blackberry,0.3,0.1,12.6,0,52.5
Gerber Organic 2nd Apples & Summer Peaches,0.3,0.1,13.1,0,54.5
Honey,0.3,0,82.2,0.2,330
Vinegar_ White Balsamic,0.3,0,33.3,0,134.4
Heinz Strained Oganic Apples,0.31,0.078,10.15,0,42.5
Beech-Nut Stage 2: Berry Apple Beans DISC,0.31,0.04,9.94,0,41.4
Chobani Coconut Non-Dairy Vanilla,0.33,6.7,12.7,1.33,112.4
Chobani Coconut Non-Dairy Blueberry,0.33,6,12.7,1.34,106.1
Chobani Coconut Non-Dairy Strawberry,0.33,6,12,2,103.3
Gerber 2nd Organic (pouch) Apple Blackberry,0.33,0.14,11.12,0,47.1
Lemon juice - fresh,0.35,0.24,6.6,0.3,30
Gerber 3rd Lil'Bits_ Banana Apple Strawberry,0.35,0,18.31,1.41,74.6
Chocolate Chia Pudding-KetoCookbook,0.356,2.14,0.43,8.9,22.4
Pear - raw,0.36,0.14,12.13,3.1,51.2
Pineapple juice - unsweetened,0.36,0.12,12.67,0.2,53.2
Beech-Nut Stage 2: Apples Squash Zuc DISC,0.36,0.03,8.43,0,35.4
Beech-Nut Stage 2: Mango Kiwi Pap DISC,0.37,0.71,11.3,0,53.1
Coconut Milk Vanilla 80 - So Delicious,0.38,1.875,3.75,0,33.4
Gerber 2nd Organic (pouch) Apls & Sumr Peaches,0.38,0.16,11.74,0,49.9
Coconut Milk - Lite_ Thai Kitchen 14oz,0.39,6,0.84,0,58.9
Heinz Strained Organic Apples & Blueberries,0.39,0.23,10.15,0,44.2
Cranberries - fresh or frozen,0.39,0.13,7.6,4.6,33.1
Butter - European,0.4,85.4,0.02,0,770.3
Kuma Shake_ tropical flavor (Amazon),0.4,16,2.2,0.4,154.4
Almond Breeze AlmondCoconut Milk UNSWTND BlDia,0.4,1.46,0.2,0.4,15.5
Lingonberry - raw,0.4,0.5,9.6,2.6,44.5
Gerber 2nd Apple Peach Squash,0.4,0.3,10.3,0,45.5
Gerber Organic 2nd Carrot Apple Mango,0.4,0.2,12.5,0,53.4
Broth_ Free Range Chicken Broth - Imagine,0.4,0.1,0.4,0,4.1
Gerber 2nd Pear/Pineapple,0.4,0.1,15.2,0,63.3
Gerber Organic 2nd Apple Sweet Potato,0.4,0.1,14.8,0,61.7
Gerber Organic 2nd Apples Blueberries Spinach,0.4,0.1,12.2,0,51.3
Gerber Organic 2nd Apples Carrots Squash,0.4,0.1,12.2,0,51.3
Gerber Organic 2nd Pear Spinach,0.4,0.1,14.6,0,60.9
Gerber Organic 2nd Pears,0.4,0.1,16.2,0,67.3
Gerber Organic 2nd Pears Peaches Strawb,0.4,0.1,14.9,0,62.1
Gerber 2nd Pear,0.4,0,14.3,0,58.8
Relish_vlasic homestyle,0.4,0,8,0,33.6
Welches white grape juice,0.4,0,15.8,0,64.8
almond milk unsweetend Stop and shop,0.41,1.2,0.41,0,14.1
Beech-Nut Stage 2: Pear Raspberry Asp DISC,0.41,0.14,9.8,0,42.1
Almond Breeze original unsweet_almond/coconut milk,0.416,1.5,0.416,0,16.8
Broth_ Chicken_ 100% Natural - Swanson,0.416,0.208,0.416,0,5.2
Broth_ Chicken_ Cert Organic - Swanson,0.416,0.208,1.28,0,8.7
Almond Milk_ Unsweetened Original Pacific Fds,0.417,1.04,0.83,0,14.3
keto Mylk unsweetened,0.42,2.9,0.42,0,29.5
Coconut Milk Orig unswtnd 1/2gallon - TraderJoes,0.42,2.1,0.42,0,22.3
Macadamia Milk_ unsweetened - Milkadamia,0.42,1.46,0.38,0,16.3
Almond Milk unsweetened 35Cal-CalifiaFarms,0.42,1.27,0.21,0.21,14
Almond Milk unsweetVanilla 40Cal-CalifiaFarms,0.42,1.27,0.42,0.42,14.8
Almond Milk_ Unswtnd OrgVAN-365WholeFood,0.42,1.25,0.42,0.42,14.6
Almond Breeze - Original unswtnd - BlueDiamond,0.42,1.042,0.21,0,11.9
Almond Milk unsweetened 30Cal-Silk,0.42,1.04,0.2,0.2,11.8
Lime juice - fresh,0.42,0.07,8.02,0.4,34.4
Prune Juice Light- Sunsweet,0.42,0,9.59,1.25,40
Beech-Nut Stage 3: Mango Strawb Car Chia DISC,0.43,1.17,8.11,0,44.7
Strawberries_ frozen - unsweetened,0.43,0.11,7.03,2.1,30.8
Happy Baby Apple Kale Avo pouch,0.44,0.89,11.5,2.67,55.8
Beech-Nut Stage 2: Mango Apple Avocado,0.44,0.88,16.8,2.65,76.9
Beech-Nut Stage 2: P/A Pear & Avocado,0.44,0.88,13.27,3.53,62.8
Beech-Nut Stage 2: Apple Cinnamon Granol,0.44,0.35,11.5,1.77,50.9
Beech-Nut Stage 2: Carrot Corn & Pumpkin,0.44,0.3,7,2.65,32.5
Beech-Nut Stage 2: Banana Orange Pineapple,0.44,0.21,18.58,2.65,78
Beech-Nut Stage 2: Guava Pear & Strawberry,0.44,0.15,8.8,3.54,38.3
Beech-Nut Stage 2: Pear Blueberry,0.44,0.12,10.6,3.53,45.2
Beech-Nut Stage 2: Apple Blackberries,0.44,0.09,14.16,1.77,59.2
Beech-Nut Stage 2: Apple Pumpkin Cinnamon,0.44,0.04,9.73,1.77,41
Beech-Nut Stage 2: Banana Berry w/ Grn Beans,0.44,0.03,15,2.65,62
Beech-Nut Stage 2: Apple Kale,0.44,0,13.27,1.77,54.8
Gerber 2nd Pumpkin,0.44,0,5.31,0.89,23
Happy Baby Apples & Spinach jar,0.44,0,14.16,0.89,58.4
Happy Baby Carrots & Peas jar,0.44,0,7.08,1.77,30.1
Happy Baby Pears Peas Brocc pouch,0.44,0,11.5,2.67,47.8
